Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4380074959,https://www.linkedin.com/jobs/view/4380074959,Pending,2026-03-05 20:40:14.793591,2026-03-09 20:40:14.838692,Found a Bad Word in About Job,"
About the job
Company Description
 Furniconcepts is a leading furniture company dedicated to transforming living and working spaces with a blend of comfort, elegance, and innovative design. Partnering with renowned industry professionals, Furniconcepts offers a diverse collection of products, including office furniture, ergonomic chairs, auditorium seating, and workspace solutions. With a focus on craftsmanship and collaboration, Furniconcepts caters to both residential and commercial spaces, ensuring quality and sophistication. Our commitment to creating functional and stylish furniture sets us apart in the industry, meeting the evolving needs of our customers.
 Role Description
 This is a full-time hybrid role for a Web Developer, based in Chennai with flexibility for remote work. The Web Developer will be responsible for designing, coding, and modifying websites and web-based platforms to create visually appealing and user-friendly interfaces. Key tasks include front-end development, back-end programming, and ensuring web functionality, responsiveness, and optimal performance. Collaboration with cross-functional teams to align technology solutions with business goals is a key aspect of this role.
 Qualifications
  Proficiency in Front-End Development, including HTML, CSS, and JavaScript frameworks
Experience in Back-End Web Development and programming languages such as Python, PHP, or Node.js
In-depth knowledge of Web Development processes and architecture
Strong Web Design skills with a focus on creating intuitive and engaging user interfaces
Ability to troubleshoot and resolve technical issues effectively
Strong problem-solving, communication, and teamwork skills
Bachelor’s degree in Computer Science, Information Technology, or related field
Familiarity with SEO principles and responsive design is a plus

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4381204052,https://www.linkedin.com/jobs/view/4381204052,resume.pdf,2026-03-07 20:40:21.047870,2026-03-09 20:40:55.457074,Problem in Easy Applying,Failed to click Submit application 😑,Easy Applied,Not Available
